kodim01: 512x768, PSNR:21.7955, MS-SSIM:0.7479, bpp:0.1273, Best PSNR:21.8327, Best MS-SSIM:0.7487, Best bpp:0.1272, Training:372.4389s, Eval:0.00255130s, FPS:391.9570
kodim02: 512x768, PSNR:27.9443, MS-SSIM:0.8559, bpp:0.1270, Best PSNR:28.1723, Best MS-SSIM:0.8575, Best bpp:0.1272, Training:298.6610s, Eval:0.00229419s, FPS:435.8837
kodim03: 512x768, PSNR:28.1291, MS-SSIM:0.9014, bpp:0.1277, Best PSNR:28.1549, Best MS-SSIM:0.9017, Best bpp:0.1278, Training:375.3456s, Eval:0.00227344s, FPS:439.8620
kodim04: 768x512, PSNR:27.3004, MS-SSIM:0.8562, bpp:0.1283, Best PSNR:27.3389, Best MS-SSIM:0.8568, Best bpp:0.1290, Training:359.4779s, Eval:0.00257148s, FPS:388.8811
kodim05: 512x768, PSNR:20.1034, MS-SSIM:0.7452, bpp:0.1265, Best PSNR:20.1450, Best MS-SSIM:0.7439, Best bpp:0.1265, Training:377.6197s, Eval:0.00228808s, FPS:437.0483
kodim06: 512x768, PSNR:23.3391, MS-SSIM:0.7828, bpp:0.1276, Best PSNR:23.3414, Best MS-SSIM:0.7821, Best bpp:0.1261, Training:349.0679s, Eval:0.00229405s, FPS:435.9104
kodim07: 512x768, PSNR:24.2039, MS-SSIM:0.8419, bpp:0.1270, Best PSNR:24.2252, Best MS-SSIM:0.8428, Best bpp:0.1271, Training:338.7345s, Eval:0.00229811s, FPS:435.1407
kodim08: 512x768, PSNR:19.0206, MS-SSIM:0.7968, bpp:0.1265, Best PSNR:19.0143, Best MS-SSIM:0.7972, Best bpp:0.1264, Training:382.6425s, Eval:0.00225487s, FPS:443.4846
kodim09: 768x512, PSNR:26.4859, MS-SSIM:0.8940, bpp:0.1262, Best PSNR:26.5924, Best MS-SSIM:0.8959, Best bpp:0.1265, Training:325.6809s, Eval:0.00241709s, FPS:413.7206
kodim10: 768x512, PSNR:26.4141, MS-SSIM:0.8812, bpp:0.1271, Best PSNR:26.4473, Best MS-SSIM:0.8809, Best bpp:0.1264, Training:317.1088s, Eval:0.00258053s, FPS:387.5179
kodim11: 512x768, PSNR:24.1312, MS-SSIM:0.8251, bpp:0.1274, Best PSNR:24.2662, Best MS-SSIM:0.8270, Best bpp:0.1278, Training:429.5962s, Eval:0.00230837s, FPS:433.2055
kodim12: 512x768, PSNR:27.6948, MS-SSIM:0.8813, bpp:0.1292, Best PSNR:27.7211, Best MS-SSIM:0.8813, Best bpp:0.1294, Training:359.4394s, Eval:0.00230127s, FPS:434.5434
kodim13: 512x768, PSNR:19.7602, MS-SSIM:0.7064, bpp:0.1281, Best PSNR:19.7675, Best MS-SSIM:0.7060, Best bpp:0.1286, Training:334.0438s, Eval:0.00229650s, FPS:435.4448
kodim14: 512x768, PSNR:22.3499, MS-SSIM:0.7687, bpp:0.1265, Best PSNR:22.4117, Best MS-SSIM:0.7717, Best bpp:0.1272, Training:397.5133s, Eval:0.00232265s, FPS:430.5436
kodim15: 512x768, PSNR:26.2119, MS-SSIM:0.8815, bpp:0.1274, Best PSNR:26.3211, Best MS-SSIM:0.8818, Best bpp:0.1272, Training:335.8751s, Eval:0.00232177s, FPS:430.7054
kodim16: 512x768, PSNR:26.8236, MS-SSIM:0.8511, bpp:0.1271, Best PSNR:26.9208, Best MS-SSIM:0.8522, Best bpp:0.1274, Training:428.7522s, Eval:0.00230378s, FPS:434.0689
kodim17: 768x512, PSNR:26.2927, MS-SSIM:0.8801, bpp:0.1289, Best PSNR:26.2759, Best MS-SSIM:0.8800, Best bpp:0.1291, Training:353.2793s, Eval:0.00240898s, FPS:415.1128
kodim18: 768x512, PSNR:22.5782, MS-SSIM:0.7618, bpp:0.1281, Best PSNR:22.6201, Best MS-SSIM:0.7619, Best bpp:0.1282, Training:372.8104s, Eval:0.00227804s, FPS:438.9744
kodim19: 768x512, PSNR:23.0417, MS-SSIM:0.8271, bpp:0.1288, Best PSNR:23.0855, Best MS-SSIM:0.8276, Best bpp:0.1273, Training:284.6284s, Eval:0.00229245s, FPS:436.2151
kodim20: 512x768, PSNR:25.9082, MS-SSIM:0.9000, bpp:0.1265, Best PSNR:25.9557, Best MS-SSIM:0.8999, Best bpp:0.1266, Training:370.8410s, Eval:0.00242310s, FPS:412.6944
kodim21: 512x768, PSNR:23.2943, MS-SSIM:0.8546, bpp:0.1289, Best PSNR:23.3071, Best MS-SSIM:0.8553, Best bpp:0.1288, Training:475.9185s, Eval:0.00228720s, FPS:437.2159
kodim22: 512x768, PSNR:25.1716, MS-SSIM:0.8003, bpp:0.1268, Best PSNR:25.2395, Best MS-SSIM:0.8003, Best bpp:0.1269, Training:419.5084s, Eval:0.00238636s, FPS:419.0491
kodim23: 512x768, PSNR:26.5153, MS-SSIM:0.8884, bpp:0.1266, Best PSNR:26.6977, Best MS-SSIM:0.8886, Best bpp:0.1274, Training:403.8822s, Eval:0.00252567s, FPS:395.9341
kodim24: 512x768, PSNR:22.1968, MS-SSIM:0.8151, bpp:0.1273, Best PSNR:22.2207, Best MS-SSIM:0.8151, Best bpp:0.1270, Training:411.7023s, Eval:0.00251210s, FPS:398.0737
Average: 576x704, PSNR:24.4461, MS-SSIM:0.8310, Bpp:0.1275, Best PSNR:24.5031, Best MS-SSIM:0.8315, Best bpp:0.1275, Training:369.7737s, Eval:0.00236631s, FPS:423.3828
