kodim01: 512x768, PSNR:21.9522, MS-SSIM:0.7658, bpp:0.1524, Best PSNR:21.9997, Best MS-SSIM:0.7668, Best bpp:0.1526, Training:373.0584s, Eval:0.00237983s, FPS:420.1981
kodim02: 512x768, PSNR:28.6606, MS-SSIM:0.8718, bpp:0.1546, Best PSNR:28.8171, Best MS-SSIM:0.8720, Best bpp:0.1551, Training:341.5545s, Eval:0.00237935s, FPS:420.2836
kodim03: 512x768, PSNR:28.4169, MS-SSIM:0.9058, bpp:0.1553, Best PSNR:28.5167, Best MS-SSIM:0.9067, Best bpp:0.1554, Training:354.9170s, Eval:0.00238555s, FPS:419.1910
kodim04: 768x512, PSNR:27.5991, MS-SSIM:0.8631, bpp:0.1560, Best PSNR:27.6317, Best MS-SSIM:0.8632, Best bpp:0.1560, Training:410.2297s, Eval:0.00237311s, FPS:421.3877
kodim05: 512x768, PSNR:20.4598, MS-SSIM:0.7766, bpp:0.1537, Best PSNR:20.5402, Best MS-SSIM:0.7780, Best bpp:0.1540, Training:403.5156s, Eval:0.00270948s, FPS:369.0740
kodim06: 512x768, PSNR:23.6179, MS-SSIM:0.8030, bpp:0.1555, Best PSNR:23.6661, Best MS-SSIM:0.8033, Best bpp:0.1558, Training:328.3738s, Eval:0.00247214s, FPS:404.5077
kodim07: 512x768, PSNR:24.8549, MS-SSIM:0.8649, bpp:0.1543, Best PSNR:24.9004, Best MS-SSIM:0.8664, Best bpp:0.1536, Training:429.9269s, Eval:0.00315786s, FPS:316.6705
kodim08: 512x768, PSNR:19.4820, MS-SSIM:0.8243, bpp:0.1537, Best PSNR:19.5458, Best MS-SSIM:0.8265, Best bpp:0.1538, Training:340.6817s, Eval:0.00240035s, FPS:416.6062
kodim09: 768x512, PSNR:27.1461, MS-SSIM:0.9133, bpp:0.1535, Best PSNR:27.1626, Best MS-SSIM:0.9141, Best bpp:0.1541, Training:419.2039s, Eval:0.00247978s, FPS:403.2612
kodim10: 768x512, PSNR:26.9458, MS-SSIM:0.8974, bpp:0.1559, Best PSNR:26.9795, Best MS-SSIM:0.8982, Best bpp:0.1555, Training:433.6684s, Eval:0.00246187s, FPS:406.1946
kodim11: 512x768, PSNR:24.5396, MS-SSIM:0.8424, bpp:0.1542, Best PSNR:24.5885, Best MS-SSIM:0.8432, Best bpp:0.1543, Training:402.9651s, Eval:0.00235889s, FPS:423.9283
kodim12: 512x768, PSNR:28.1201, MS-SSIM:0.8917, bpp:0.1539, Best PSNR:28.1810, Best MS-SSIM:0.8916, Best bpp:0.1541, Training:410.3524s, Eval:0.00236281s, FPS:423.2242
kodim13: 512x768, PSNR:19.8666, MS-SSIM:0.7258, bpp:0.1541, Best PSNR:20.0438, Best MS-SSIM:0.7370, Best bpp:0.1554, Training:427.0664s, Eval:0.00237469s, FPS:421.1081
kodim14: 512x768, PSNR:22.8435, MS-SSIM:0.7971, bpp:0.1536, Best PSNR:22.8562, Best MS-SSIM:0.7973, Best bpp:0.1541, Training:434.1106s, Eval:0.00236036s, FPS:423.6649
kodim15: 512x768, PSNR:26.9461, MS-SSIM:0.8955, bpp:0.1542, Best PSNR:27.0262, Best MS-SSIM:0.8957, Best bpp:0.1541, Training:340.6376s, Eval:0.00324230s, FPS:308.4228
kodim16: 512x768, PSNR:27.3344, MS-SSIM:0.8668, bpp:0.1548, Best PSNR:27.4593, Best MS-SSIM:0.8685, Best bpp:0.1549, Training:414.5024s, Eval:0.00238509s, FPS:419.2707
kodim17: 768x512, PSNR:26.5698, MS-SSIM:0.8888, bpp:0.1540, Best PSNR:26.5208, Best MS-SSIM:0.8883, Best bpp:0.1539, Training:339.8420s, Eval:0.00274031s, FPS:364.9220
kodim18: 768x512, PSNR:22.9171, MS-SSIM:0.7893, bpp:0.1547, Best PSNR:22.9342, Best MS-SSIM:0.7894, Best bpp:0.1546, Training:350.5126s, Eval:0.00234508s, FPS:426.4251
kodim19: 768x512, PSNR:23.7342, MS-SSIM:0.8530, bpp:0.1558, Best PSNR:23.8079, Best MS-SSIM:0.8542, Best bpp:0.1552, Training:326.0599s, Eval:0.00241068s, FPS:414.8205
kodim20: 512x768, PSNR:26.3241, MS-SSIM:0.9091, bpp:0.1525, Best PSNR:26.3784, Best MS-SSIM:0.9089, Best bpp:0.1524, Training:374.2830s, Eval:0.00248504s, FPS:402.4074
kodim21: 512x768, PSNR:23.5872, MS-SSIM:0.8684, bpp:0.1523, Best PSNR:23.6642, Best MS-SSIM:0.8698, Best bpp:0.1528, Training:375.4257s, Eval:0.00248313s, FPS:402.7180
kodim22: 512x768, PSNR:25.1534, MS-SSIM:0.8115, bpp:0.1548, Best PSNR:25.3935, Best MS-SSIM:0.8123, Best bpp:0.1545, Training:352.7972s, Eval:0.00282935s, FPS:353.4382
kodim23: 512x768, PSNR:27.4185, MS-SSIM:0.9137, bpp:0.1564, Best PSNR:27.6488, Best MS-SSIM:0.9158, Best bpp:0.1565, Training:357.6211s, Eval:0.00232398s, FPS:430.2967
kodim24: 512x768, PSNR:22.5239, MS-SSIM:0.8386, bpp:0.1555, Best PSNR:22.5529, Best MS-SSIM:0.8392, Best bpp:0.1570, Training:295.4249s, Eval:0.00285133s, FPS:350.7137
Average: 576x704, PSNR:24.8756, MS-SSIM:0.8491, Bpp:0.1544, Best PSNR:24.9506, Best MS-SSIM:0.8503, Best bpp:0.1546, Training:376.5304s, Eval:0.00253135s, FPS:398.4473
