kodim01: 512x768, PSNR:26.0472, MS-SSIM:0.9392, bpp:1.2174, Best PSNR:26.7169, Best MS-SSIM:0.9492, Best bpp:1.2265, Training:355.1657s, Eval:0.00554878s, FPS:180.2200
kodim02: 512x768, PSNR:33.2287, MS-SSIM:0.9622, bpp:1.2420, Best PSNR:33.3345, Best MS-SSIM:0.9636, Best bpp:1.2428, Training:366.5664s, Eval:0.00572788s, FPS:174.5847
kodim03: 512x768, PSNR:33.8888, MS-SSIM:0.9735, bpp:1.2493, Best PSNR:34.3718, Best MS-SSIM:0.9761, Best bpp:1.2409, Training:429.0160s, Eval:0.00556912s, FPS:179.5616
kodim04: 768x512, PSNR:32.1436, MS-SSIM:0.9633, bpp:1.2374, Best PSNR:32.1638, Best MS-SSIM:0.9629, Best bpp:1.2378, Training:368.5568s, Eval:0.00547670s, FPS:182.5916
kodim05: 512x768, PSNR:26.8244, MS-SSIM:0.9593, bpp:1.2350, Best PSNR:27.1988, Best MS-SSIM:0.9628, Best bpp:1.2323, Training:410.7910s, Eval:0.00557442s, FPS:179.3908
kodim06: 512x768, PSNR:27.7013, MS-SSIM:0.9413, bpp:1.2195, Best PSNR:28.1612, Best MS-SSIM:0.9483, Best bpp:1.2222, Training:450.0121s, Eval:0.00618123s, FPS:161.7802
kodim07: 512x768, PSNR:32.2242, MS-SSIM:0.9793, bpp:1.2208, Best PSNR:32.6245, Best MS-SSIM:0.9806, Best bpp:1.2213, Training:312.5023s, Eval:0.00546278s, FPS:183.0568
kodim08: 512x768, PSNR:24.8350, MS-SSIM:0.9575, bpp:1.2301, Best PSNR:25.3720, Best MS-SSIM:0.9608, Best bpp:1.2362, Training:329.8539s, Eval:0.00548988s, FPS:182.1535
kodim09: 768x512, PSNR:32.6388, MS-SSIM:0.9761, bpp:1.2134, Best PSNR:33.0381, Best MS-SSIM:0.9768, Best bpp:1.2067, Training:320.6466s, Eval:0.00549728s, FPS:181.9080
kodim10: 768x512, PSNR:33.0353, MS-SSIM:0.9772, bpp:1.2192, Best PSNR:33.3042, Best MS-SSIM:0.9779, Best bpp:1.2259, Training:375.1543s, Eval:0.00546605s, FPS:182.9473
kodim11: 512x768, PSNR:29.2919, MS-SSIM:0.9574, bpp:1.2350, Best PSNR:29.5064, Best MS-SSIM:0.9597, Best bpp:1.2392, Training:338.4983s, Eval:0.00626276s, FPS:159.6740
kodim12: 512x768, PSNR:33.2943, MS-SSIM:0.9658, bpp:1.2402, Best PSNR:33.3681, Best MS-SSIM:0.9664, Best bpp:1.2387, Training:319.8277s, Eval:0.00549143s, FPS:182.1019
kodim13: 512x768, PSNR:23.1053, MS-SSIM:0.9181, bpp:1.2138, Best PSNR:23.5333, Best MS-SSIM:0.9267, Best bpp:1.2262, Training:288.4220s, Eval:0.00545605s, FPS:183.2829
kodim14: 512x768, PSNR:28.1129, MS-SSIM:0.9554, bpp:1.2469, Best PSNR:28.1946, Best MS-SSIM:0.9566, Best bpp:1.2442, Training:317.3497s, Eval:0.00550990s, FPS:181.4915
kodim15: 512x768, PSNR:32.0548, MS-SSIM:0.9670, bpp:1.2349, Best PSNR:32.1569, Best MS-SSIM:0.9672, Best bpp:1.2327, Training:417.2400s, Eval:0.00551903s, FPS:181.1911
kodim16: 512x768, PSNR:31.9855, MS-SSIM:0.9689, bpp:1.2555, Best PSNR:32.0085, Best MS-SSIM:0.9691, Best bpp:1.2638, Training:355.7193s, Eval:0.00565784s, FPS:176.7461
kodim17: 768x512, PSNR:32.1393, MS-SSIM:0.9788, bpp:1.2334, Best PSNR:32.3223, Best MS-SSIM:0.9799, Best bpp:1.2358, Training:340.2706s, Eval:0.00548032s, FPS:182.4711
kodim18: 768x512, PSNR:26.8190, MS-SSIM:0.9432, bpp:1.2162, Best PSNR:27.0957, Best MS-SSIM:0.9463, Best bpp:1.2144, Training:326.5720s, Eval:0.00560366s, FPS:178.4548
kodim19: 768x512, PSNR:29.3358, MS-SSIM:0.9591, bpp:1.2300, Best PSNR:29.6780, Best MS-SSIM:0.9607, Best bpp:1.2363, Training:309.6277s, Eval:0.00551066s, FPS:181.4665
kodim20: 512x768, PSNR:31.6783, MS-SSIM:0.9719, bpp:1.2064, Best PSNR:31.8946, Best MS-SSIM:0.9737, Best bpp:1.2109, Training:300.4017s, Eval:0.00548946s, FPS:182.1672
kodim21: 512x768, PSNR:28.4584, MS-SSIM:0.9653, bpp:1.2419, Best PSNR:28.6609, Best MS-SSIM:0.9662, Best bpp:1.2396, Training:333.0100s, Eval:0.00546479s, FPS:182.9896
kodim22: 512x768, PSNR:30.0240, MS-SSIM:0.9502, bpp:1.2439, Best PSNR:30.0270, Best MS-SSIM:0.9501, Best bpp:1.2410, Training:386.4408s, Eval:0.00626998s, FPS:159.4902
kodim23: 512x768, PSNR:34.5385, MS-SSIM:0.9821, bpp:1.2509, Best PSNR:34.7860, Best MS-SSIM:0.9831, Best bpp:1.2507, Training:323.9356s, Eval:0.00551349s, FPS:181.3734
kodim24: 512x768, PSNR:26.9180, MS-SSIM:0.9623, bpp:1.2441, Best PSNR:26.9702, Best MS-SSIM:0.9617, Best bpp:1.2454, Training:333.1798s, Eval:0.00604633s, FPS:165.3897
Average: 576x704, PSNR:30.0135, MS-SSIM:0.9614, Bpp:1.2324, Best PSNR:30.2703, Best MS-SSIM:0.9636, Best bpp:1.2338, Training:350.3650s, Eval:0.00563624s, FPS:177.7702
