kodim01: 512x768, PSNR:23.8363, MS-SSIM:0.8753, bpp:0.4185, Best PSNR:24.0781, Best MS-SSIM:0.8822, Best bpp:0.4222, Training:335.6671s, Eval:0.00314788s, FPS:317.6740
kodim02: 512x768, PSNR:30.5135, MS-SSIM:0.9230, bpp:0.4268, Best PSNR:30.6014, Best MS-SSIM:0.9231, Best bpp:0.4221, Training:314.9881s, Eval:0.00315404s, FPS:317.0537
kodim03: 512x768, PSNR:30.8278, MS-SSIM:0.9494, bpp:0.4226, Best PSNR:31.1543, Best MS-SSIM:0.9498, Best bpp:0.4223, Training:344.5083s, Eval:0.00315322s, FPS:317.1360
kodim04: 768x512, PSNR:29.6923, MS-SSIM:0.9242, bpp:0.4304, Best PSNR:29.7153, Best MS-SSIM:0.9243, Best bpp:0.4305, Training:440.1488s, Eval:0.00326630s, FPS:306.1572
kodim05: 512x768, PSNR:23.0212, MS-SSIM:0.8881, bpp:0.4256, Best PSNR:23.1446, Best MS-SSIM:0.8916, Best bpp:0.4281, Training:344.7088s, Eval:0.00316874s, FPS:315.5833
kodim06: 512x768, PSNR:25.0054, MS-SSIM:0.8829, bpp:0.4235, Best PSNR:25.2965, Best MS-SSIM:0.8893, Best bpp:0.4235, Training:334.3697s, Eval:0.00315248s, FPS:317.2101
kodim07: 512x768, PSNR:28.7987, MS-SSIM:0.9533, bpp:0.4320, Best PSNR:28.8594, Best MS-SSIM:0.9541, Best bpp:0.4294, Training:363.0229s, Eval:0.00331013s, FPS:302.1028
kodim08: 512x768, PSNR:21.5939, MS-SSIM:0.9041, bpp:0.4153, Best PSNR:21.8507, Best MS-SSIM:0.9071, Best bpp:0.4230, Training:376.6549s, Eval:0.00314694s, FPS:317.7688
kodim09: 768x512, PSNR:29.5065, MS-SSIM:0.9523, bpp:0.4268, Best PSNR:29.7432, Best MS-SSIM:0.9547, Best bpp:0.4295, Training:316.0170s, Eval:0.00317236s, FPS:315.2230
kodim10: 768x512, PSNR:29.8048, MS-SSIM:0.9524, bpp:0.4315, Best PSNR:29.8964, Best MS-SSIM:0.9537, Best bpp:0.4355, Training:367.1551s, Eval:0.00316820s, FPS:315.6365
kodim11: 512x768, PSNR:26.5328, MS-SSIM:0.9125, bpp:0.4223, Best PSNR:26.6932, Best MS-SSIM:0.9128, Best bpp:0.4211, Training:345.0560s, Eval:0.00318846s, FPS:313.6315
kodim12: 512x768, PSNR:30.1921, MS-SSIM:0.9317, bpp:0.4255, Best PSNR:30.3899, Best MS-SSIM:0.9331, Best bpp:0.4262, Training:388.9844s, Eval:0.00318640s, FPS:313.8336
kodim13: 512x768, PSNR:21.3511, MS-SSIM:0.8464, bpp:0.4182, Best PSNR:21.4026, Best MS-SSIM:0.8489, Best bpp:0.4190, Training:321.7870s, Eval:0.00316559s, FPS:315.8968
kodim14: 512x768, PSNR:24.8208, MS-SSIM:0.8920, bpp:0.4187, Best PSNR:24.9473, Best MS-SSIM:0.8946, Best bpp:0.4192, Training:297.0000s, Eval:0.00352452s, FPS:283.7265
kodim15: 512x768, PSNR:29.0098, MS-SSIM:0.9383, bpp:0.4260, Best PSNR:29.5347, Best MS-SSIM:0.9397, Best bpp:0.4243, Training:409.4160s, Eval:0.00366285s, FPS:273.0112
kodim16: 512x768, PSNR:28.9694, MS-SSIM:0.9264, bpp:0.4281, Best PSNR:29.0546, Best MS-SSIM:0.9273, Best bpp:0.4285, Training:316.6159s, Eval:0.00314824s, FPS:317.6379
kodim17: 768x512, PSNR:29.3478, MS-SSIM:0.9540, bpp:0.4315, Best PSNR:29.4076, Best MS-SSIM:0.9547, Best bpp:0.4322, Training:397.4574s, Eval:0.00316169s, FPS:316.2863
kodim18: 768x512, PSNR:24.7247, MS-SSIM:0.8850, bpp:0.4290, Best PSNR:24.7990, Best MS-SSIM:0.8872, Best bpp:0.4279, Training:341.0672s, Eval:0.00316648s, FPS:315.8076
kodim19: 768x512, PSNR:26.4421, MS-SSIM:0.9190, bpp:0.4325, Best PSNR:26.8265, Best MS-SSIM:0.9206, Best bpp:0.4325, Training:345.4105s, Eval:0.00317532s, FPS:314.9288
kodim20: 512x768, PSNR:28.7584, MS-SSIM:0.9494, bpp:0.4211, Best PSNR:28.7870, Best MS-SSIM:0.9493, Best bpp:0.4212, Training:332.3970s, Eval:0.00312086s, FPS:320.4249
kodim21: 512x768, PSNR:25.8322, MS-SSIM:0.9314, bpp:0.4310, Best PSNR:25.8487, Best MS-SSIM:0.9320, Best bpp:0.4308, Training:325.9512s, Eval:0.00329114s, FPS:303.8459
kodim22: 512x768, PSNR:27.4508, MS-SSIM:0.8964, bpp:0.4287, Best PSNR:27.5328, Best MS-SSIM:0.8969, Best bpp:0.4276, Training:330.1420s, Eval:0.00318281s, FPS:314.1876
kodim23: 512x768, PSNR:30.8713, MS-SSIM:0.9604, bpp:0.4267, Best PSNR:31.0318, Best MS-SSIM:0.9601, Best bpp:0.4225, Training:386.1829s, Eval:0.00315221s, FPS:317.2382
kodim24: 512x768, PSNR:24.1904, MS-SSIM:0.9148, bpp:0.4277, Best PSNR:24.2818, Best MS-SSIM:0.9161, Best bpp:0.4271, Training:349.2724s, Eval:0.00313716s, FPS:318.7592
Average: 576x704, PSNR:27.1289, MS-SSIM:0.9193, Bpp:0.4258, Best PSNR:27.2866, Best MS-SSIM:0.9210, Best bpp:0.4261, Training:350.9992s, Eval:0.00321267s, FPS:311.6984
