kodim01: 512x768, PSNR:25.5583, MS-SSIM:0.9297, bpp:0.9543, Best PSNR:26.1737, Best MS-SSIM:0.9389, Best bpp:0.9633, Training:369.2701s, Eval:0.00491464s, FPS:203.4736
kodim02: 512x768, PSNR:32.3669, MS-SSIM:0.9539, bpp:0.9635, Best PSNR:32.5862, Best MS-SSIM:0.9551, Best bpp:0.9682, Training:390.6604s, Eval:0.00535746s, FPS:186.6557
kodim03: 512x768, PSNR:33.1617, MS-SSIM:0.9714, bpp:0.9618, Best PSNR:33.6429, Best MS-SSIM:0.9732, Best bpp:0.9656, Training:333.0096s, Eval:0.00468243s, FPS:213.5642
kodim04: 768x512, PSNR:31.6024, MS-SSIM:0.9566, bpp:0.9712, Best PSNR:31.6984, Best MS-SSIM:0.9580, Best bpp:0.9718, Training:370.0691s, Eval:0.00467791s, FPS:213.7706
kodim05: 512x768, PSNR:25.5520, MS-SSIM:0.9435, bpp:0.9487, Best PSNR:26.0292, Best MS-SSIM:0.9493, Best bpp:0.9574, Training:400.1880s, Eval:0.00472968s, FPS:211.4309
kodim06: 512x768, PSNR:27.2430, MS-SSIM:0.9370, bpp:0.9592, Best PSNR:27.4629, Best MS-SSIM:0.9412, Best bpp:0.9603, Training:319.1645s, Eval:0.00471033s, FPS:212.2995
kodim07: 512x768, PSNR:31.5691, MS-SSIM:0.9766, bpp:0.9670, Best PSNR:31.7855, Best MS-SSIM:0.9775, Best bpp:0.9701, Training:311.4119s, Eval:0.00471237s, FPS:212.2076
kodim08: 512x768, PSNR:23.2555, MS-SSIM:0.9406, bpp:0.9312, Best PSNR:23.7984, Best MS-SSIM:0.9453, Best bpp:0.9335, Training:372.6861s, Eval:0.00469786s, FPS:212.8627
kodim09: 768x512, PSNR:31.9463, MS-SSIM:0.9713, bpp:0.9445, Best PSNR:32.3547, Best MS-SSIM:0.9722, Best bpp:0.9566, Training:381.3441s, Eval:0.00466047s, FPS:214.5707
kodim10: 768x512, PSNR:32.5548, MS-SSIM:0.9747, bpp:0.9623, Best PSNR:32.8307, Best MS-SSIM:0.9762, Best bpp:0.9696, Training:426.3077s, Eval:0.00470093s, FPS:212.7236
kodim11: 512x768, PSNR:28.3896, MS-SSIM:0.9445, bpp:0.9640, Best PSNR:28.9469, Best MS-SSIM:0.9514, Best bpp:0.9618, Training:452.4151s, Eval:0.00477196s, FPS:209.5573
kodim12: 512x768, PSNR:32.2288, MS-SSIM:0.9582, bpp:0.9501, Best PSNR:32.3745, Best MS-SSIM:0.9579, Best bpp:0.9532, Training:323.9810s, Eval:0.00473718s, FPS:211.0960
kodim13: 512x768, PSNR:22.8044, MS-SSIM:0.9081, bpp:0.9583, Best PSNR:22.9939, Best MS-SSIM:0.9119, Best bpp:0.9628, Training:378.1806s, Eval:0.00476852s, FPS:209.7087
kodim14: 512x768, PSNR:27.1884, MS-SSIM:0.9425, bpp:0.9596, Best PSNR:27.2855, Best MS-SSIM:0.9440, Best bpp:0.9604, Training:447.9009s, Eval:0.00474211s, FPS:210.8767
kodim15: 512x768, PSNR:31.4798, MS-SSIM:0.9604, bpp:0.9634, Best PSNR:31.5833, Best MS-SSIM:0.9603, Best bpp:0.9610, Training:309.0045s, Eval:0.00470361s, FPS:212.6024
kodim16: 512x768, PSNR:30.9273, MS-SSIM:0.9597, bpp:0.9718, Best PSNR:31.0956, Best MS-SSIM:0.9606, Best bpp:0.9648, Training:313.8307s, Eval:0.00537274s, FPS:186.1248
kodim17: 768x512, PSNR:31.6098, MS-SSIM:0.9764, bpp:0.9711, Best PSNR:31.6472, Best MS-SSIM:0.9771, Best bpp:0.9740, Training:342.7615s, Eval:0.00469405s, FPS:213.0356
kodim18: 768x512, PSNR:26.2123, MS-SSIM:0.9311, bpp:0.9635, Best PSNR:26.4706, Best MS-SSIM:0.9353, Best bpp:0.9582, Training:350.9319s, Eval:0.00470626s, FPS:212.4828
kodim19: 768x512, PSNR:28.8498, MS-SSIM:0.9535, bpp:0.9644, Best PSNR:29.0232, Best MS-SSIM:0.9551, Best bpp:0.9699, Training:389.4661s, Eval:0.00500306s, FPS:199.8775
kodim20: 512x768, PSNR:30.8846, MS-SSIM:0.9673, bpp:0.9497, Best PSNR:31.0976, Best MS-SSIM:0.9683, Best bpp:0.9481, Training:373.7135s, Eval:0.00463731s, FPS:215.6423
kodim21: 512x768, PSNR:27.9471, MS-SSIM:0.9620, bpp:0.9741, Best PSNR:28.0374, Best MS-SSIM:0.9623, Best bpp:0.9769, Training:327.6655s, Eval:0.00469475s, FPS:213.0038
kodim22: 512x768, PSNR:29.3835, MS-SSIM:0.9412, bpp:0.9792, Best PSNR:29.4669, Best MS-SSIM:0.9414, Best bpp:0.9846, Training:293.8493s, Eval:0.00477073s, FPS:209.6117
kodim23: 512x768, PSNR:33.3814, MS-SSIM:0.9754, bpp:0.9791, Best PSNR:33.4200, Best MS-SSIM:0.9757, Best bpp:0.9658, Training:383.3061s, Eval:0.00468261s, FPS:213.5560
kodim24: 512x768, PSNR:26.1093, MS-SSIM:0.9529, bpp:0.9665, Best PSNR:26.2646, Best MS-SSIM:0.9541, Best bpp:0.9732, Training:349.7289s, Eval:0.00475346s, FPS:210.3731
Average: 576x704, PSNR:29.2586, MS-SSIM:0.9537, Bpp:0.9616, Best PSNR:29.5029, Best MS-SSIM:0.9559, Best bpp:0.9638, Training:362.9520s, Eval:0.00478677s, FPS:209.2128
